@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
1,'2019/02/12 15:54:00:248',1,31,29,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
2,'2019/02/12 15:54:00:745',1,120,27,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
3,'2019/02/12 15:54:00:830',1,119,31,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
4,'2019/02/12 15:54:00:912',1,112,49,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
5,'2019/02/12 15:54:00:997',1,87,76,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
6,'2019/02/12 15:54:01:098',1,50,98,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
7,'2019/02/12 15:54:01:181',1,28,104,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
8,'2019/02/12 15:54:01:262',1,28,101,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
9,'2019/02/12 15:54:01:348',1,34,101,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
10,'2019/02/12 15:54:01:411',1,84,109,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
11,'2019/02/12 15:54:01:498',1,145,116,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
12,'2019/02/12 15:54:01:580',1,164,99,0.026121,0.839443,0.917344,0.222677,0.104654,0.7414,0.740268,0.61352,0.200941,0.932602,0.94077,0.658078,0.268157,0.071048,0.25216,0.136139,0.151386,0.046215,0.436825
13,'2019/02/12 15:54:04:579',1,332,18,0.700208,0.477629,0.530891,0.120598,0.15505,0.830357,0.850378,0.393869,0.098928,0.821677,0.994273,0.406263,0.447544,0.598032,0.99548,0.620225,0.901769,0.519456,0.831757
14,'2019/02/12 15:54:05:078',1,403,55,0.700208,0.477629,0.530891,0.120598,0.15505,0.830357,0.850378,0.393869,0.098928,0.821677,0.994273,0.406263,0.447544,0.598032,0.99548,0.620225,0.901769,0.519456,0.831757
15,'2019/02/12 15:54:05:163',1,391,71,0.700208,0.477629,0.530891,0.120598,0.15505,0.830357,0.850378,0.393869,0.098928,0.821677,0.994273,0.406263,0.447544,0.598032,0.99548,0.620225,0.901769,0.519456,0.831757
16,'2019/02/12 15:54:05:246',1,353,90,0.700208,0.477629,0.530891,0.120598,0.15505,0.830357,0.850378,0.393869,0.098928,0.821677,0.994273,0.406263,0.447544,0.598032,0.99548,0.620225,0.901769,0.519456,0.831757
17,'2019/02/12 15:54:05:333',1,286,102,0.700208,0.477629,0.530891,0.120598,0.15505,0.830357,0.850378,0.393869,0.098928,0.821677,0.994273,0.406263,0.447544,0.598032,0.99548,0.620225,0.901769,0.519456,0.831757
18,'2019/02/12 15:54:09:282',1,448,85,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
19,'2019/02/12 15:54:09:781',1,195,47,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
20,'2019/02/12 15:54:09:888',1,192,60,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
21,'2019/02/12 15:54:09:986',1,206,75,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
22,'2019/02/12 15:54:10:052',1,245,80,0.066976,0.446156,0.741855,0.091277,0.942305,0.496561,0.914459,0.049213,0.965329,0.995124,0.790082,0.954107,0.995452,0.721818,0.003725,0.393252,0.76179,0.589449,0.900345
