@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2019/02/01 22:36:28:841',1,22,37,0.967795,0.103204,0.333169
2,'2019/02/01 22:36:29:339',1,277,28,0.967795,0.103204,0.333169
3,'2019/02/01 22:36:29:425',1,258,44,0.967795,0.103204,0.333169
4,'2019/02/01 22:36:29:505',1,216,70,0.967795,0.103204,0.333169
5,'2019/02/01 22:36:29:589',1,150,119,0.967795,0.103204,0.333169
6,'2019/02/01 22:36:29:677',1,96,164,0.967795,0.103204,0.333169
7,'2019/02/01 22:36:29:758',1,71,185,0.967795,0.103204,0.333169
8,'2019/02/01 22:36:29:841',1,62,195,0.967795,0.103204,0.333169
9,'2019/02/01 22:36:29:925',1,62,195,0.967795,0.103204,0.333169
10,'2019/02/01 22:36:30:009',1,62,195,0.967795,0.103204,0.333169
11,'2019/02/01 22:36:36:892',1,269,39,0.447287,0.029663,0.103018
12,'2019/02/01 22:36:37:392',1,427,29,0.447287,0.029663,0.103018
13,'2019/02/01 22:36:37:476',1,427,28,0.447287,0.029663,0.103018
14,'2019/02/01 22:36:37:559',1,424,34,0.447287,0.029663,0.103018
15,'2019/02/01 22:36:37:642',1,384,74,0.447287,0.029663,0.103018
16,'2019/02/01 22:36:37:723',1,351,110,0.447287,0.029663,0.103018
17,'2019/02/01 22:36:37:806',1,323,141,0.447287,0.029663,0.103018
18,'2019/02/01 22:36:37:892',1,312,149,0.447287,0.029663,0.103018
19,'2019/02/01 22:36:37:975',1,312,150,0.447287,0.029663,0.103018
20,'2019/02/01 22:36:38:059',1,320,147,0.447287,0.029663,0.103018
21,'2019/02/01 22:36:38:142',1,372,140,0.447287,0.029663,0.103018
22,'2019/02/01 22:36:38:224',1,423,132,0.447287,0.029663,0.103018
23,'2019/02/01 22:36:38:307',1,436,129,0.447287,0.029663,0.103018
24,'2019/02/01 22:36:38:392',1,439,128,0.447287,0.029663,0.103018
25,'2019/02/01 22:36:38:477',1,439,128,0.447287,0.029663,0.103018
26,'2019/02/01 22:36:38:557',1,436,130,0.447287,0.029663,0.103018
27,'2019/02/01 22:36:38:640',1,392,156,0.447287,0.029663,0.103018
28,'2019/02/01 22:36:38:725',1,347,187,0.447287,0.029663,0.103018
29,'2019/02/01 22:36:38:810',1,323,207,0.447287,0.029663,0.103018
30,'2019/02/01 22:36:38:890',1,306,217,0.447287,0.029663,0.103018
31,'2019/02/01 22:36:38:977',1,300,221,0.447287,0.029663,0.103018
32,'2019/02/01 22:36:39:057',1,291,228,0.447287,0.029663,0.103018
33,'2019/02/01 22:36:39:144',1,285,231,0.447287,0.029663,0.103018
34,'2019/02/01 22:36:39:226',1,285,231,0.447287,0.029663,0.103018
35,'2019/02/01 22:36:39:306',1,285,231,0.447287,0.029663,0.103018
36,'2019/02/01 22:36:42:060',1,57,436,0.767701,0.700476,0.455594
37,'2019/02/01 22:36:42:557',1,124,384,0.767701,0.700476,0.455594
38,'2019/02/01 22:36:42:640',1,143,398,0.767701,0.700476,0.455594
39,'2019/02/01 22:36:42:724',1,164,414,0.767701,0.700476,0.455594
40,'2019/02/01 22:36:42:808',1,192,428,0.767701,0.700476,0.455594
41,'2019/02/01 22:36:42:893',1,215,431,0.767701,0.700476,0.455594
42,'2019/02/01 22:36:42:976',1,239,416,0.767701,0.700476,0.455594
43,'2019/02/01 22:36:43:058',1,257,400,0.767701,0.700476,0.455594
44,'2019/02/01 22:36:43:141',1,264,390,0.767701,0.700476,0.455594
45,'2019/02/01 22:36:43:224',1,268,373,0.767701,0.700476,0.455594
46,'2019/02/01 22:36:43:308',1,273,362,0.767701,0.700476,0.455594
47,'2019/02/01 22:36:43:392',1,278,355,0.767701,0.700476,0.455594
